# DevOps 平台 Lessons Learned Log

> **说明**：本文件由 AI 自动维护，按时间倒序记录实战中发现的隐蔽风险与排障结论。
> **【强制更新规范】**
> 1. **单一主表原则**：所有新增经验必须**倒序**统一追加到下方的 Markdown 主表格中。**绝对严禁**在主表格之外另起任何零散的 `列表`、`次级小表格` 或 `### 分割的小标题`。
> 2. **记录门槛**：不记成功的流水账，只记录由于框架机制、脏数据或跨端约束导致的非直觉类障碍。
> 3. **字段约定**：The Defense 栏必须使用粗体加粗一句话结论，随后跟上落地措施。

| Timestamp | Domain | Phenomenon | Root Cause | Universal Rule (The Defense) |
| 2026-03-31 | Testing/Resilience | 引入 `tenacity` 重试后单元测试超时挂起 | **时间膨胀陷阱**：指数退避重试在测试中触发了真实的物理 `time.sleep`。 | **测试时钟冻结 (Clock Freezing)**：任何含有重试循环的逻辑在单元测试中 **必须强制 Mock `time.sleep`**，以消除不必要的物理等待。 |
| 2026-03-31 | Testing/Mocking | 迁移至 Session 池后原本的 `requests.get` Mock 失效 | **调用链漂移**：Session 实例直接调用其内部 `request` 方法，绕过了 `requests.api` 顶层函数。 | **统一入口 Mock (Unified Mocking)**：涉及 Session 集成的测试，必须 patch `requests.Session.request` 或具体的实例方法以实现全量流量拦截。 |
| 2026-03-31 | App/Security | 敏感 Header（Token/Auth）在日志中明文泄露 | **安全责任分散**：依赖各插件自行脱敏导致覆盖不全（如遗漏自定义 Header）。 | **安全左移 (Centralized Masking)**：脱敏逻辑必须在 `BaseClient` 基类硬化，作为“默认安全”基础设施强制执行。 |
| 2026-03-31 | Testing/Resilience | 无法在测试中区分是网络错误还是熔断拦截 | **状态不可见**：通用异常捕获导致无法验证 fail-fast 逻辑是否生效。 | **精确异常断言**：韧性测试必须显式断言 `CircuitBreakerOpenError`，以确保熔断器在阈值触发后确实进入了 OPEN 状态。 |
| 2026-03-31 | Infra/Hygiene | 根目录堆积大量 `pytest_*.txt` 等临时产物 | **路径便捷性诱惑**：为了快速键入重定向命令，潜意识忽略了系统隔离规范。 | **路径围栏化 (Path Enclosure)**：1. 重定向路径必须且只能以 `tmp/` 为前缀。 2. 任何任务结束前必须自查根目录卫生。 |
| 2026-03-31 | PowerShell/CI | PowerShell 重定向失败、语法错误及编码乱码 (连环坑) | 1. `>` 不会自动创建不存在的父目录。 2. WinPS 5.1 不支持 `&&`，且 `if` 语法与 Bash 不同。 3. `>` 默认导出 UTF-16LE 导致后续读取失败。 | **PowerShell 环境防御三板斧 (PS-Env Robustness)**：1. **目录预检**：重定向到子目录前必须先 `if (!(Test-Path tmp)) { New-Item -ItemType Directory tmp }`。2. **语法兼容**：多命令串联优先用 `;`；`if` 必须带括号与花括号。3. **强推 UTF-8**：**禁绝**直接用 `>`，必须使用 `Out-File -Encoding utf8` 或 `Set-Content` 以规避 UTF-16LE 乱码。 |
| 2026-03-31 | Testing/Logic | `test_idempotency.py` 报错 `AssertionError: 0 != 2` | 测试用例直接调用内部原子方法 `_sync_project`，但 Worker 架构已将其与 `_sync_commits` 解耦。测试调用路径与业务逻辑路径非对齐。 | **全链路任务测试优先 (Sync-Path Alignment)**：集成测试应优先通过 `process_task` (Payload 驱动) 触发，或确保按业务逻辑顺序链式调用原子方法。严禁假设单个元数据同步方法会级联触发业务数据同步。 |
| 2026-03-31 | Testing/DB | 集成测试在 TearDown 阶段抛出 `ERROR` (SQLite IntegrityError) | 部分集成测试文件 (`test_project_management_integration.py`) 未遵循 Lesson #13 规范，在 `drop_all` 前未关闭外键。 | **测试隔离与清理强制闭环 (Mandatory Foreign Key Suppression)**：1. 任何涉及多表关联的集成测试，`teardown` 必须显式执行 `PRAGMA foreign_keys=OFF`。2. 推荐使用全局 `conftest.py` 统一管理清理逻辑，减少各文件重复且易漏的配置。 |
| 2026-03-24 | MDM/Scripts | `import_employees.py` 报错 `IntegrityError` (NOT NULL FK) | MDM Schema 重构后，外键 (`org_id`) 已从业务 String 迁为 Integer ID，但旧脚本仍传入 String 编码。 | **数据初始化脚本主键一致性 (Import Script Alignment)**：1. 任何 MDM 架构重构后，必须同步审计所有 `scripts/init_*.py`。2. 必须实现业务码到内部 ID 的解析逻辑（如 `select(Org.id).where(Org.code == code)`）再赋值给 FK。 |
| 2026-03-24 | Docker/Infra | 构建时拉取 `uv` 工具或 Python 包失败 (Ghcr.io / Pypi 不通) | Dockerfile 中硬编码了互联网源，无法适配受限/离线环境。 | **构建工具链私服化 (Nexus-First Build)**：1. 核心工具镜像（如 `astral-sh/uv`）必须预拉取至内网 Nexus 并打标。2. Dockerfile 必须使用 `ARG` 接收 `UV_IMAGE` 和 `PIP_INDEX_URL`。3. `pip install` 必须带上 `--trusted-host` 以支持本地 HTTP 仓库。 |
| 2026-03-24 | RabbitMQ | 容器健康检查反复失败导致重启 | 在资源受限或启动较慢的环境下，默认的健康检查时间不足。 | **MQ 健康检查韧性 (RabbitMQ Healthcheck Triage)**：1. 提高 `retries` (60) 和 `start_period`。2. 调整 `RABBITMQ_VM_MEMORY_HIGH_WATERMARK_RELATIVE` (0.7) 减少内存水线误报导致的强制停机。 |
| 2026-03-24 | Testing/Integrity | OKR 服务测试报错 `IntegrityError` (Foreign Key missing) | 测试用例在向 `gitlab_commits` 插入数据前，未先在当前 Session 注入对应的 `GitLabProject` 记录。 | **测试依赖级联注入 (Cascade Dependency Seeding)**：服务层集成测试必须显式构造并 `add()` 所有强制外键父项。禁绝假设数据库中已有现成底数，确保测试在 `--reuse-db` 场景下依然幂等。 |
| 2026-03-24 | Registry/Tool | `uv` 访问内网 HTTP 私服报 `400 Bad Request` 但 `pip` 正常 | `uv` 对 TLS 和 User-Agent 的处理较严格，对协议不匹配的内网仓库兼容性不如 `pip`。 | **私服兼容性降级策略 (Registry Fallback)**：在复杂的内网/代理环境下，Dockerfile 的包安装阶段优先使用 `pip` 配合 `--trusted-host`。仅在镜像拉取阶段使用 `uv` 镜像，利用其二进制文件提取的便捷性。 |
| 2026-03-24 | Testing/ORM | `StatementError` 与 `AttributeError: hex` (UUID 解析错误) | 高版本 SQLAlchemy 2.0.41 对 `UUID(as_uuid=True)` 列进行查询过滤时 (`user_id=str(user_id)`) 会触发严格绑定失败。 | **UUID 强类型防御**：如果模型列被定义为真正的 UUID 对象，在执行查询、修改、新增前，**必须**将其从 String 强制转换为 Python 原生的 `uuid.UUID` 对象，严禁直接传入字符串。 |
| 2026-03-24 | Testing/DB | 内存数据库执行 `drop_all` 时报 `IntegrityError` 外键冲突 | 在启用 `PRAGMA foreign_keys=ON` 的 SQLite 中，具有复杂闭环外键约束的表在 `Base.metadata.drop_all` 时因销毁时序乱序触发拦截。 | **SQLite 销毁防御时序**：在所有 fixture 的 TearDown 块中，执行 `drop_all(bind=engine)` 前必须通过 `conn.exec_driver_sql("PRAGMA foreign_keys=OFF")` 显式关闭外键检查。 |
| 2026-03-21 | Testing/SQLAlchemy | `@hybrid_property` 在 Mock 环境引发 `NotImplementedError` | `@hybrid_property` 会在类级别生成 SQL 表达式描述符。当测试中以 `MagicMock` 替代 Session、或以 SQLite 替代 PG 时，SQLAlchemy 尝试将 Python 逻辑（如 `sorted()`、`.get()`）翻译为 SQL Clause，因无对应 SQL 实现而崩溃。 | **`@hybrid_property` 使用守则**：若属性逻辑中含有纯 Python 运算（排序、字典取值、lambda 等），必须改用普通 `@property`。只有当属性需要同时支持 `Model.attr == value` 这类 SQL 级别过滤时，才需要 `@hybrid_property` + `@attr.expression` 双修，且 expression 分支必须返回合法 SQL Clause。 |
| 2026-03-21 | Testing/SQLAlchemy | 单元测试用 `MagicMock` 模拟 Session 时，SQLAlchemy ORM 操作符（如 `.filter(Col.in_([...]))`）抛 `NotImplementedError` | SQLAlchemy ORM 查询、比较和 IN 等操作符作用在 Column 对象上时，实际上生成 SQL AST 节点。`MagicMock` 不实现这套协议，调用时无法生成有效 SQL 而报错。 | **测试 SQLAlchemy ORM必用 in-memory DB**：1. 含 ORM 查询逻辑的测试，必须使用真实 `create_engine("sqlite:///:memory:")` + `sessionmaker`，不得使用 `MagicMock` 替代 Session。2. 若只测纯数据转换逻辑（无 DB 操作），才允许 Mock Session。 |
| 2026-03-21 | Testing/FK | 测试中向 `ProjectProductRelation` 传入字符串 `"PROD1"` / `"ORG1"` 作为 FK 值，触发 `IntegrityError: NOT NULL constraint` 或类型不匹配 | `ProjectProductRelation.product_id`、`org_id` 均为 Integer FK（指向 `mdm_products.id`、`mdm_organizations.id`）。重构后这些列已从 String 业务编码迁移为 Integer 自增 PK，但旧测试 seed 未同步更新。 | **测试 FK Seed 规程**：1. 测试 seed 数据必须先依次创建父表记录（`flush()` 获取自增 ID），再以整数 ID 建立关联——严禁用字符串直接赋值 Integer FK。2. 每次重构 FK 类型后，必须通过 grep 检索所有测试文件中对该 FK 的直接赋值，统一修正。 |
| 2026-03-21 | Testing/Pydantic | 向 Pydantic v2 Model 的 `list[MyModel]` 字段传入 `MagicMock()` 实例，触发 `ValidationError: string type expected` | Pydantic v2 在 Model 实例化时对所有字段进行严格类型验证，`MagicMock` 实例无法通过类型守卫，即使在测试中也不例外。 | **Pydantic v2 测试 Mock 规则**：1. Pydantic Model 字段严禁使用 `MagicMock` 填充——必须构造合法的 Schema 实例（即使只填最小必填字段）。2. 若 Schema 构造代价高，可用 `model_construct()` 跳过验证（仅在确认不需要验证逻辑的场景使用）。 |
| 2026-03-21 | Python/Regex | Issue 描述解析 (`parser.py`) 无法正确提取优先级、测试类型、反馈等字段 | 正则表达式在 Markdown 模板中，字段前有 `**` 加粗标记，原 pattern 硬编码了 `**用例优先级`]: ` 格式。MarkDown 渲染中 `**` 可能位置不固定，且"反馈"行的序号前缀（`1.`）与 pattern 不一致。 | **Markdown 解析正则健壮性规则**：1. 提取语义标签时，正则必须使用 `.*?` 吸收中间的 Markdown 格式字符（如 `**`、`*`、`-`），格式：`r"关键词.*?:\s*\[(.*?)\]"`。2. 行前缀（序号）不稳定时，不应在 pattern 中硬编码 `\d+\.`，应用更宽松的前瞻截取。3. 所有 Python 正则必须使用 `r"..."` raw string，避免 `\\` 双重转义导致的调试困难。 |
| 2026-03-21 | Testing/Timing | `test_token_bucket_refill` 断言 `assertGreater(limiter.tokens, 9)` 失败（tokens 恰好等于 9） | 令牌桶以 10/s 的速率，sleep 0.5s 后补充 5 个 token，消费 1 个后恰好剩 9 个——数学上不满足严格 `> 9`。边界值在 CI / Docker 容器等精确计时环境下（无 OS 调度抖动）必然触发。 | **时间相关断言必须宽于边界**：1. 涉及 `sleep + rate` 的时序测试，断言阈值必须用 `assertGreaterEqual` 或留出 ±10% 容差，不得使用严格的 `>` 或 `<`。2. 如需精确验证，应 Mock 时钟（`unittest.mock.patch("time.time")`）而非依赖物理 sleep。 |
| 2026-03-19 | ORM/Pydantic | 在 SQLAlchemy Model 上添加 `@property` (如 `product_id` → `product_code`) 后，所有通过 `Model(product_id=xxx)` 构造对象的代码全部报 `AttributeError: property has no setter` | SQLAlchemy 的 `declarative_constructor` 使用 `setattr(self, k, kwargs[k])` 来初始化字段。`@property` 没有 setter 时，`setattr` 会拦截赋值操作，导致所有旧代码中以 `project_id=xxx` 传参的构造调用全部崩溃。 | **ORM 模型严禁添加与列名冲突的 @property**：若需在 API 层做字段重命名映射（如 `product_code` → `product_id`），必须在 Pydantic Schema 层使用 `validation_alias` 处理，绝不可在 ORM Model 层添加同名 property。ORM 层的属性名必须与数据库列名一一对应。 |
| 2026-03-19 | SQLAlchemy/FK | 在 MDM 重构后，`ProjectProductRelation` 的 FK 字段 (`project_id`, `product_id`, `org_id`) 全部变为 Integer (指向 `mdm_*.id`)，但服务层和测试仍传入 String (业务编码)，导致 `FOREIGN KEY constraint failed` | 重构将业务主键从 String 改为 Integer 自增 PK，但未同步更新所有消费方代码。API 层收到的是业务编码 (String)，需要先查询对应 Model 获取 `.id` (Integer)，再赋值给 FK 字段。 | **FK 类型对齐三步法**：1. API 接收业务编码 (String)。2. 查询 Model 获取 surrogate PK (Integer `.id`)。3. 用 `.id` 赋值给 FK 字段。严禁将业务编码直接传入 Integer FK 字段。所有涉及 FK 的测试必须先 `flush()` 获取 auto-increment ID 后再建立关联。 |
| 2026-03-19 | SQLAlchemy/Filter | `list_unlinked_repos` 使用 `filter(GitLabProject.mdm_project_id is None)` 无法正确过滤 NULL 记录，返回全量数据 | Python 的 `is None` 是身份比较运算符，对 SQLAlchemy Column 对象永远返回 `False`（因 Column 对象不是 None），不会生成 `IS NULL` SQL 谓词。 | **SQLAlchemy NULL 过滤必用 `.is_(None)`**：严禁使用 Python 原生 `is None` 做 ORM 过滤。正确写法：`Model.column.is_(None)`。同理，`!= None` 应写为 `.isnot(None)` 或 `.is_not(None)`。此为经典陷阱，应纳入 Code Review 必检项。 |
| 2026-03-18 | Testing/Windows | 单元测试执行极慢 (14min+) 甚至挂起 | Windows 下频繁创建/删除物理 .db 文件引发磁盘 I/O 尖峰，且 `Base.metadata.create_all` (94张表) 在每个 function-scoped 夹具中执行造成巨大 CPU 开销。 | **Windows 测试性能守卫 (In-Memory/Session-scoped DB)**：1. 强制将建表逻辑 (`create_all`) 提升至 `session` 作用域。2. 使用 `pytest-timeout` 设定进程级熔断 (30s)，防止因文件锁或其他挂起导致的静默 Token 消耗。 |
| 2026-03-18 | Arch/Refactor | ZenTao Worker 缺乏批处理框架，代码路径分叉导致维护困难 | 原设计中 `_sync_issue` (单条) 和 `_transform_issue` (单条转换) 是独立方法。优化时引入了 `_sync_issues_batch` (批量) 后，原单条方法成为"孤儿代码"。若不统一代码路径，会出现"单条走旧路径、批量走新路径"的分叉，增加回归风险。 | **单条委托批量 (Singleton-to-Batch Delegation)**: 重构批量方法后，原有的单条入口必须改为"薄委托层"，即 `_sync_issue(data)` 内部调用 `_sync_issues_batch([data])`，确保所有执行路径归一，消除代码分叉。`_transform_xxx` 等旧方法若已被新批量方法内联替代，应标记为废弃或直接删除。 |
| 2026-03-18 | Nexus/Metadata | Nexus 仓库存在大量长期(>180天)未被下载的僵尸包/快照乃至从不被拉取 | 开发者只推代码，缺乏定期回收意识。通过辨别 `lastDownloaded` (开发端真实拉取时间) 与 `lastModified` (外网拉到本地代理时的变动时间)，可发现大量无用依赖或无人工触及产物。 | **数字资产健康度指标 (Digital Asset Hygiene)**：1. 后续必须将 `lastDownloaded` 作为甄别垃圾数据的核心指标。2. 当需要统计整个仓库时，避免无限遍历引发的请求阻塞，可基于抽样机制(如取近5000条)或直接进行底层元数据库连接；严禁通过 REST API 全量遍历。 |
| 2026-03-17 | ZenTao/SQLAlchemy | 同步任务因 `NOT NULL` 约束报错中断 (`zentao_issues.title`) | 1. 禅道原始数据存在缺失标题/名称的脏数据。 2. SQLAlchemy 在将对象加入 Session 后（或因 auto-flush）触发 flush，会因必填项为空导致数据库拒绝写入。 | **防御性标题兜底与赋值时序 (Defensive Title & Assignment Order)**：1. 严禁在将 ORM 对象添加到 Session 之后（或触发任何可能导致 flush 的操作前）才进行必填字段赋值。2. 对外部源的必填描述性字段，必须在解析转换层实现强制兜底（如 "Untitled + ID"），确保数据落库韧性优于严格校验。 |
| 2026-03-17 | Migration/Alembic | Alembic 迁移空库时报错 `UndefinedTable` 中断 | Autogenerate 脚本自动生成了 `drop_table` 语句，但空建置的初始库中本不存在该旧表。 | **初始物理态对齐预检**：在 `upgrade()` 中必须使用 `inspector.get_table_names()` 预探物理表存活，或初始构建后用 `stamp head` 同步当前状态。 |
| 2026-03-16 | SQLAlchemy/ORM | `AmbiguousForeignKeysError` 打地鼠式爆发 | 模型中使用了 `TimestampMixin`（内含 `created_by` 等指向 `User` 的外键）。当子类模型定义新的 `relationship("User")` 时，SQLAlchemy 看到 3 个或以上的 `User` 外键，无法自动推断 Join 条件，引发报错。 | **显式外键声明 (Explicit FK Declaration)**：凡是继承自带有统一外键引用的 Mixin（如 TimestampMixin 指向用户表）的模型，在定义同目标表的关系时，**必须强制显式声明** `foreign_keys=[..._id]`，不可依赖 SQLAlchemy 的自动推断。 |
| 2026-03-16 | Data/Lifecycle | 主数据变更与存量对齐 | 业务项目/产品 ID 和名称变更，残留旧数据导致统计混淆。 | **定向刷新 (Directed Master Data Refresh)**：1. 对主数据层（MDM）实施“先解关联、后清空、再重注”的定向刷新策略。2. 解除关联时需覆盖所有外部插件层（zentao_*, gitlab_*）及审计层（commit_metrics）的物理外键引用，确保业务数据存量不丢但逻辑归属归零。 |
| 2026-03-16 | Data/Resilience | 禅道同步报外键冲突 | 议题引用的 `plan_id` 在计划列表中不存在（脏数据或逻辑删除），导致严格外键约束触发。 | **业务桩数据与防御解析 (Stubbing & Defending)**：1. 对非核心外键引用，必须在解析层增加合法性探测，缺失时回退为 `NULL` 或创建桩记录。2. 业务韧性优于严格模式。 |
| 2026-03-16 | Concurrency | 身份映射唯一键冲突 | 大规模并行割取时，多个 Worker 为相同邮箱/工号同时写入 `mdm_identity_mappings`，由于 ON CONFLICT 仅覆盖了单个索引，导致并发击穿。 | **原子隔离与多级索引保护 (Atomic Isolation)**：1. ON CONFLICT 必须针对每个高频冲突路径建立保护逻辑。2. 对多唯一键表，必须配合 `session.begin_nested()` 子事务捕获竞争波动，防止 Session 损坏。 |
| 2026-03-16 | Metrics | 指标感知偏向 (Metric Bias) | GitLab 完成度 1.4% vs 禅道 14%，前者看似缓慢但吞吐了 23 万条提交量。 | **多维进度度量 (Multi-dim Progress)**：DevOps 数据同步必须同时度量“项目覆盖率”与“记录吞吐量 (Ingestion rate)”，防止因大型仓库导致的进度焦虑。 |
| 2026-03-14 | dbt/SQL | JSONB 转数值抛错 | `JSONB->>'field'` 提取出的内容可能带有字面量双引号 (如 `"123.4"`) 或空字符串，直接 `cast` 会报非法输入。 | **强类型防御转换 (Defense Cast)**：1. 必须使用 `trim(both '"' from field)` 清除引号。2. 配合 `nullif` 与 `coalesce` 过滤空值。 |
| 2026-03-14 | Infra/Config | 脚本获取环境变量报错 | `os.getenv("KEY", 600)` 在某些逻辑分支中返回整数，但在需要字符串拼接或特定 Pydantic 校验时崩溃。 | **环境变量字符串优先 (String-First Defaults)**：`os.getenv` 的所有默认值必须显式设为字符串（如 `"600"`），在使用处再进行类型转换。 |
